IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_9,IR_Wavelength_10,Material_Type
1012461,1736111,3002827,1270301,2277705,PE
1248609,2056101,3536827,1523429,2682033,PE
1425523,2407189,4156453,1770789,3145177,PE
1036779,1756537,3024955,1292917,2289395,PE
1418437,2437041,4135027,1780741,3160259,PE
1397389,2388517,4005995,1756871,3084469,PE
1018999,1687955,3003941,1261165,2254249,PE
1433571,2445563,3931603,1790963,3059077,PE
917235,1635605,2900489,1182145,2181535,PE
1334307,2297519,3711801,1678541,2886537,PE
1356047,2275519,3867175,1680949,2949311,PE
1302489,2251721,3857417,1645189,2937509,PE
1031957,1754467,3011073,1288721,2291257,PE
994785,1688899,2919793,1243199,2216237,PE
1486789,2511701,4124283,1846389,3189405,PE
1494531,2544605,4310483,1867783,3293285,PE
1233823,2148435,3552479,1562623,2740465,PE
1465617,2554497,4218399,1860273,3252271,PE
1010513,1700091,2938551,1254191,2229255,PE
1473919,2558863,4470539,1864451,3377551,PE
954885,1626469,2923557,1194469,2184447,PE
1057875,1727947,3273053,1285243,2412855,PE
1306503,2233821,3640965,1638611,2822011,PE
1560367,2690339,4551541,1966201,3478099,PE
1136647,1880097,3443843,1395529,2559995,PE
1581921,2486855,3888315,1876499,3053059,PE
1410857,2353767,3743895,1738769,2926635,PE
973955,1646857,2674597,1209955,2077273,PE
1510381,2567341,4419177,1882113,3351749,PE
1181553,2207119,3731117,1567497,2846599,PE
1647563,2943563,4895361,2124225,3763957,PE
908375,1562747,2759067,1141609,2076107,PE
1066823,1794539,3056407,1324571,2334111,PE
1534709,2654239,4373685,1935729,3375581,PE
960229,1515691,3319533,1143263,2328457,PE
1009673,1667703,3165669,1235649,2317571,PE
1021621,1773805,3093381,1293467,2337909,PE
1042609,1742221,2901653,1285623,2229179,PE
1370457,2362305,3958213,1725205,3035651,PE
1712099,3033169,5017691,2199075,3872509,PE
1241367,2112383,3523435,1550781,2707069,PE
1080971,1813463,3160597,1335857,2391445,PE
992171,1687191,2921039,1239825,2212955,PE
1277963,2221299,3706301,1618163,2847965,PE
1532361,2665651,4525489,1940477,3454287,PE
1647215,2937395,4850539,2121121,3740571,PE
1036245,1786123,3073939,1306755,2334513,PE
1165967,2006091,3358193,1464981,2577255,PE
1089047,1806825,3134469,1338815,2374489,PE
1687879,2938081,4835451,2138037,3733291,PE
1015709,1732041,3078805,1269175,2312351,PE
1434241,2463197,4183625,1799263,3193183,PE
1594179,2823185,4659323,2043397,3594049,PE
1360933,2312183,3858383,1695837,2963627,PE
1034039,1768899,3033403,1295713,2306071,PE
1136409,1892511,3347191,1398731,2518401,PE
1345897,2298929,3828905,1685563,2943261,PE
1247953,2121401,3634235,1558569,2766097,PE
1150955,1983387,3364599,1449367,2569035,PE
1075757,1828859,3199513,1344447,2415743,PE
1391683,2326927,3816705,1718681,2950949,PE
1179613,2048511,3434371,1499263,2640181,PE
1212035,2070381,3430293,1517713,2641575,PE
1213147,2069525,3428727,1517925,2641299,PE
1726795,3075065,5111149,2223665,3933811,PE
1726321,3073295,5103589,2219259,3927609,PE
1143175,1892429,3182735,1401803,2437873,PE
1144393,1929385,3245267,1422719,2487261,PE
1110765,1934919,3308345,1407413,2520211,PE
1217725,2114607,3524279,1542423,2709653,PE
1626803,3181729,5865363,2221555,4347861,Other
1908977,3566589,6163493,2532033,4673949,Other
1296695,2163389,3581217,1595907,2758575,Other
1720257,3276803,4963823,2311875,3958921,Other
1348815,2180627,3622463,1626109,2788047,Other
675661,1494065,3386037,1005931,2360503,Other
2430535,4509017,7536343,3218441,5795253,Other
2366791,4365349,7343143,3215767,5805063,Other
51791,124789,153871,76877,120085,Other
1375775,2456333,4235869,1975367,3442577,Other
11249,86361,125503,44743,93475,Other
474443,811975,1391267,634369,1118423,Other
2065221,3945509,6689041,2790745,5124601,Other
38581,108649,145181,70489,122483,Other
51735,137817,172997,75823,114521,Other
47139,106711,137871,72325,120543,Other
1302257,2612647,4679009,1818979,3515951,Other
377693,479663,1350533,367311,844433,Other
783099,1542965,2757199,1080519,2076263,Other
-1,-1,-108407,-1,-1,Other
21027,242609,273353,205405,319745,Other
-1,-1,-1,-1,-1,Other
22785,112181,143095,52909,105861,Other
567283,1021239,1717599,737667,1318169,Other
421265,705955,1460893,513135,1036455,Other
152437,284709,513049,201973,383379,Other
75457,102805,101251,76339,131549,Other
48329,135291,258385,83981,146873,Other
143505,286567,517157,191709,385067,Other
-1,-1,-1,-1,-1,Other
472005,856437,1375875,614665,1094271,Other
1787947,3523831,5631333,1293889,1200049,Other
-1,-1,-1,-1,-1,Other
60567,79493,130965,89383,135669,Other
44713,108837,154693,73753,124837,Other
27813,136917,160791,58161,182993,Other
482149,858107,1403955,623921,1080797,Other
518151,897063,1534285,642185,1153583,Other
612165,1083381,1805591,784753,1391063,Other
-36197,-54831,-136199,9487,106609,Other
46505,103055,150147,70681,115285,Other
1135421,1802375,2461533,217295,324497,Other
1728105,3483059,5476713,640129,587591,Other
31401,92393,131175,40649,88489,Other
42571,104957,145255,66523,114705,Other
45135,115753,156343,75531,127169,Other
467291,819443,1345401,593885,1008729,Other
68797,138783,159245,71185,128069,Other
45445,190973,391969,155485,259685,Other
363239,596251,1958249,522213,1201517,Other
-1,-1,-1,-1,-1,Other
-1,-1,-1,-87443,-31291,Other
-1,-1,-1,-1,-1,Other
151517,283469,509949,201399,381525,Other
-1,-1,-1,-1,-1,Other
46041,102313,147029,71801,121215,Other
39801,115193,140557,70741,123643,Other
-5219,90139,162847,69023,103639,Other
465841,823997,1346725,579353,840397,Other
526679,746903,1042303,85909,137813,Other
468229,838573,1386553,480359,562769,Other
74477,126423,153189,82597,129721,Other
72249,135707,151919,80201,117181,Other
-1,-1,-1,-1,-1,Other
-20959,85687,112861,43865,95775,Other
169045,351189,572375,258161,599047,Other
1335711,2710955,5076365,1876449,3751631,Other
620429,1320867,2566395,900897,1873227,Other
1445627,2321865,3807097,1754139,2956375,Other
263921,538137,843703,361907,642863,Other
178529,362179,570079,250517,448713,Other
1264073,2116383,3571177,1560935,2734335,PP
1285357,2218001,3723925,1620457,2855575,PP
1288505,2219001,3654761,1621825,2822673,PP
1292379,2218601,3705427,1623477,2843755,PP
1290415,2144667,3604933,1589691,2763581,PP
1323865,2274851,3744251,1661337,2887311,PP
1306377,2240745,3755117,1639869,2878925,PP
1305085,2237593,3757039,1638265,2878953,PP
1308385,2150967,3621389,1597333,2770375,PP
1324085,2270561,3774125,1660227,2900893,PP
1287961,2134887,3582365,1583355,2746229,PP
1323565,2247273,3742329,1652477,2877237,PP
1314081,2178133,3646291,1611879,2794929,PP
1294251,2153339,3594095,1596191,2764479,PP
1317915,2247917,3722105,1648021,2865573,PP
1285357,2199453,3628867,1610131,2798441,PP
1326261,2250711,3708017,1651169,2860417,PP
1252185,2068967,3450647,1533445,2649033,PP
1259225,2102131,3494889,1553535,2687091,PP
1297683,2139283,3544411,1588051,2729217,PP
1296451,2145463,3547743,1588767,2732527,PP
1309107,2226951,3669851,1632243,2828467,PP
1277935,2108805,3514465,1565573,2698229,PP
1304201,2165725,3574071,1603419,2755731,PP
1312169,2165621,3595055,1608165,2771247,PP
1302101,2157511,3597793,1597821,2762723,PP
1327723,2275317,3756559,1665971,2896999,PP
1282449,2110701,3539025,1566385,2708191,PP
1290817,2118469,3525783,1574701,2710615,PP
1312765,2227003,3699319,1634661,2845119,PP
1315523,2228303,3723423,1636159,2855793,PP
1297327,2130643,3572169,1583819,2738363,PP
1351569,2305359,3831793,1689781,2945361,PP
1288451,2118395,3542011,1575995,2719311,PP
1272027,2109963,3520109,1561985,2701853,PP
1261767,2090127,3464103,1548053,2665461,PP
1305335,2212727,3670765,1621377,2820539,PP
1270537,2148051,3581579,1578997,2749399,PP
1295203,2139629,3573709,1585327,2740027,PP
1299217,2192907,3649993,1616015,2810181,PP
1302451,2157143,3583847,1597409,2753783,PP
1303821,2154501,3592287,1597737,2758989,PP
1354811,2294931,3804419,1685115,2927117,PP
1308803,2164975,3579701,1603581,2757969,PP
1306327,2222813,3698781,1629495,2842557,PP
1307687,2233801,3736541,1635489,2867675,PP
1298669,2132891,3575465,1581205,2732641,PP
1303343,2145209,3587761,1592827,2750441,PP
1319759,2257477,3727541,1648833,2869451,PP
1331309,2275163,3756037,1665259,2892323,PP
1274211,2111413,3513253,1564539,2700155,PP
1286441,2122661,3557359,1575897,2728987,PP
1288483,2117311,3511433,1572397,2702573,PP
1302569,2127909,3569481,1584993,2736689,PP
1306143,2209103,3723589,1623447,2848803,PP
1289531,2120699,3534163,1575371,2715037,PP
1345905,2286693,3824149,1677941,2933329,PP
1291731,2177319,3624269,1601965,2784907,PP
1297237,2143669,3599607,1591989,2760295,PP
1262623,2150395,3598089,1583573,2767645,PP
1225857,2092457,3596499,1545375,2727085,PP
1113941,1910041,3208113,1417019,2493955,PP
1254857,2213345,3672899,1601741,2815481,PP
1291645,2281203,3786785,1651149,2917203,PP
1288709,2188175,3659145,1612183,2815283,PP
1246987,2110875,3550163,1559825,2729891,PP
1303769,2195765,3683815,1617423,2821957,PP
1307555,2297513,3822675,1667819,2942847,PP
1233113,2130155,3628879,1593459,2820985,PP
1266129,2240423,3720705,1621385,2860931,PP
1313157,2300183,3792221,1669523,2923421,PP
1165743,1986225,3447951,1459359,2618069,PP
1292737,2264381,3788745,1641923,2898711,PP
1311445,2219897,3707487,1632509,2849951,PP
1288635,2252983,3746775,1637395,2880833,PP
1185009,2048503,3512105,1541881,2760449,PP
1214865,2122969,3631895,1567479,2795125,PP
1256479,2147837,3577801,1577259,2755871,PP
1268705,2159483,3616505,1592975,2785483,PP
1284687,2239051,3746497,1627749,2875059,PP
1268437,2145051,3615597,1579171,2768007,PP
1120723,2028725,3499671,1562129,2776027,PP
1251069,2176813,3675759,1618775,2863167,PP
1255541,2132049,3595149,1572923,2760215,PP
1262565,2227305,3745637,1614381,2869571,PP
1292857,2246749,3751233,1639733,2895211,PP
1241771,2115055,3552207,1544989,2734269,PP
1314695,2315487,3862905,1678661,2966043,PP
1271153,2131481,3624969,1588521,2786323,PP
1235913,2213485,3741769,1613127,2899445,PP
1238141,2153165,3636195,1572321,2797061,PP
1251887,2123323,3558457,1559275,2727195,PP
1239637,2107205,3504047,1544595,2694105,PP
1253519,2102191,3556163,1552013,2719717,PP
1319179,2308109,3891805,1674729,2976429,PP
1249285,2112917,3527775,1554271,2710717,PP
1282229,2243389,3734687,1627109,2867977,PP
1276229,2166955,3611579,1590847,2774213,PP
1220529,2012797,3472639,1476919,2615261,PP
1252281,2120429,3566415,1560595,2732685,PP
1251047,2146143,3556285,1570395,2735331,PP
1126521,1904449,3252427,1245849,2160857,PP
1260315,2198729,3672365,1600231,2819911,PP
1291139,2182551,3642923,1603461,2796673,PP
1269403,2148281,3601345,1578193,2760111,PP
1279813,2241171,3727861,1626121,2864925,PP
1273095,2157965,3573329,1585547,2752353,PP
1240827,2158615,3606471,1575905,2778245,PP
1268405,2132441,3614871,1571533,2761097,PP
1231273,2090243,3501347,1530513,2678637,PP
1261427,2129931,3572841,1565769,2737911,PP
1303183,2281371,3776413,1655185,2906941,PP
1223427,2055201,3487581,1536899,2692893,PP
1297475,2269917,3795071,1649053,2912943,PP
1279331,2246069,3716205,1631395,2864885,PP
1250897,2214589,3698753,1601609,2838573,PP
1278867,2255253,3746881,1635117,2879773,PP
1281451,2161949,3612783,1585991,2759645,PP
1267649,2180353,3657751,1560689,2746443,PP
1967309,3204987,7114113,2392449,4976443,Alu
2028275,3232553,6990047,2429091,4916983,Alu
1970257,3150509,7075623,2366245,4928971,Alu
2032993,3074147,7528493,2359143,5118535,Alu
1975255,3083853,6791309,2339463,4737297,Alu
2036775,3071825,7403909,2360733,5048413,Alu
2061161,2999393,7155563,2332983,4888749,Alu
1944633,3023091,7166655,2294467,4912877,Alu
1891809,3106873,6777231,2312599,4735817,Alu
1969647,3050241,7241407,2323169,4964831,Alu
1911929,2943045,6991913,2242603,4789891,Alu
2051787,2990307,7317543,2328983,4972603,Alu
1998811,3035703,7098629,2328257,4888213,Alu
1938963,2982809,6652877,2286245,4677653,Alu
1981303,3114843,7488465,2355071,5112247,Alu
2008093,3094739,7064551,2357893,4904429,Alu
1922059,3166457,8388121,2361675,5739507,Alu
2289579,4008331,7610449,2902289,5551433,Alu
1798057,2743493,7720789,2078683,5008083,Alu
1910341,2811041,7589145,2191637,5017773,Alu
1642647,2545185,6524115,1935959,4380995,Alu
1986019,3010893,7229727,2313881,4922831,Alu
2085401,3139831,7260703,2411723,5006657,Alu
2002291,3061947,7200483,2339931,4947061,Alu
1862319,3127505,7235567,2306567,4995207,Alu
2019281,3210385,7836225,2416261,5330033,Alu
2011915,3014341,7337121,2311887,4960719,Alu
2003383,3049599,7113007,2338379,4900161,Alu
2055767,3052327,7344279,2357423,5014801,Alu
2013895,3090643,7145195,2357203,4928725,Alu
1077451,1785643,3109817,1320751,2351153,PE
1052625,1748347,3028651,1288915,2283513,PE
1739425,2926135,4966239,2153265,3789271,PE
1642413,2833577,4663775,2055023,3585675,PE
1653071,2856789,4738421,2085377,3644855,PE
1101903,1791581,3238939,1335017,2418087,PE
1129473,1802043,3246809,1350933,2423027,PE
1027619,1730919,2967295,1278423,2259049,PE
1083469,1794675,3060609,1325285,2329833,PE
1031717,1725053,2895319,1274803,2218821,PE
1021369,1714395,3011889,1253155,2254719,PE
954893,1584163,2755161,1173403,2083197,PE
1014107,1648931,2929747,1228271,2199397,PE
1021203,1710313,2979513,1256219,2242609,PE
1376521,2233683,3759989,1670019,2870689,PE
1440625,2360171,4009603,1754209,3057067,PE
1424717,2382281,3863707,1760119,2999223,PE
1349643,2236383,3746371,1659161,2878163,PE
1037119,1717913,3033101,1261719,2272673,PE
1192453,2016419,3383849,1482097,2592557,PE
1566033,2624363,4159763,1935081,3253857,PE
1564517,2610823,4218409,1928853,3277703,PE
1191417,1954545,3246799,1449103,2497923,PE
1201903,1992295,3379583,1476783,2570487,PE
1579253,2726443,4487095,1991211,3462819,PE
1602517,2750957,4523827,2012439,3491107,PE
1116383,1844059,3161823,1366989,2403471,PE
1115211,1835097,3159411,1366333,2400789,PE
1200101,2021175,3340711,1491293,2579345,PE
1200855,2043927,3389665,1503159,2620033,PE
1533489,2577653,4331331,1899295,3316361,PE
1457591,2559125,4363869,1858197,3325621,PE
1035071,1715779,2984587,1276201,2269203,PE
1025293,1744785,3024579,1280411,2288531,PE
1177111,1877365,3320445,1411797,2499163,PE
1176623,1882799,3330515,1412861,2505737,PE
1110605,1905089,3300417,1394289,2500529,PE
933283,1477835,3276803,1112911,2289073,PE
1452427,2381489,4064543,1770351,3095511,PE
1384229,2289247,3749479,1700077,2903689,PE
1680245,2884355,4767023,2110265,3672045,PE
1668845,2874751,4749337,2099767,3659649,PE
1125709,1796819,3023191,1349625,2314493,PE
1124439,1807397,3140791,1353685,2372149,PE
1734943,2996249,4935303,2155279,3769415,PE
1748505,3039723,5015163,2206769,3866515,PE
1186003,1977237,3300797,1461205,2534241,PE
1067981,1761157,2984459,1306111,2278399,PE
1245009,2072341,3487971,1520389,2659323,PE
1244351,2083809,3330391,1531531,2591557,PE
1373851,2258241,3691119,1679195,2857457,PE
1439733,2338153,3925017,1743687,3007163,PE
1377533,2281191,3903923,1687369,2969635,PE
1372941,2277655,3900997,1686233,2967683,PE
1367485,2249765,3878225,1681363,2950945,PE
1171937,1963867,3257457,1447981,2504211,PE
1213819,2023449,3420529,1494169,2613159,PE
1187931,1976453,3277475,1460721,2523303,PE
1009553,1662777,2912769,1235163,2197465,PE
994877,1706345,2955013,1249059,2240209,PE
984349,1670223,2946353,1226691,2217159,PE
1045847,1688209,3029257,1263547,2265997,PE
1049413,1687987,3032545,1263865,2267811,PE
1047875,1682469,2971437,1260885,2237395,PE
1057019,1652939,2777655,1254613,2135041,PE
818825,1429059,2427743,1038155,1850411,PE
832495,1418103,2406103,1029721,1825033,PE
802979,1393507,2402573,1019755,1820945,PE
1640477,2812059,4618221,2053753,3560873,PE
1615547,2825827,4670097,2049735,3591299,PE
1625863,2796971,4593741,2030541,3517997,PE
1180197,1978407,3275057,1454931,2516033,PE
1182495,1982229,3298521,1464115,2537273,PE
1188291,1995527,3216907,1469421,2501589,PE
1090399,1777413,3123707,1323645,2353191,PE
1087749,1749713,3047285,1310755,2304663,PE
1049239,1722043,2969799,1285733,2257989,PE
1229129,2042041,3437965,1515699,2645353,PE
1190351,2077313,3501493,1509831,2678289,PE
987985,2033589,3299665,1395625,2550645,PE
992033,2043305,3311875,1399529,2558603,PE
967793,2617937,3975225,1670571,3171047,PE
1073025,2596131,4221975,1699357,3270559,PE
1013065,2494465,4118677,1627355,3175037,PE
1264449,2186883,3859033,1597127,2905361,PE
1265169,2189677,3863787,1596069,2906961,PE
1589507,3083057,5088973,2163507,3921113,PE
1349867,2279331,4020455,1674919,3025633,PE
1348471,2283101,4036143,1676551,3035629,PE
1288167,2202745,3982629,1615783,2973205,PE
1274005,2186857,3868985,1598755,2909071,PE
1313117,2238215,3982005,1638633,2988729,PE
914509,1490375,2638545,1108675,1983107,PE
909971,1488599,2593879,1101697,1958769,PE
897123,1475217,2582247,1096613,1950005,PE
909143,1372087,2785233,1049125,1998773,PE
876959,1507973,2953495,1104975,2148191,PE
894287,1351653,2869109,1036383,2030833,PE
1052903,1648933,2871639,1247247,2169703,PE
1041603,1633901,2852695,1236623,2152163,PE
976981,1586845,2719467,1183579,2067633,PE
948635,1542787,2704121,1151747,2039813,PE
1474435,2465773,3995665,1820033,3099611,PE
1293337,2114475,3659783,1577391,2778597,PE
1380819,2199693,3505997,1653765,2741291,PE
850349,1388719,2723869,1032095,1977601,PE
936271,1469015,2864503,1106813,2066717,PE
897945,1402859,2713965,1061325,1978255,PE
1349337,2285673,3868401,1678935,2956435,PE
1331809,2266587,3857701,1669627,2953703,PE
965417,1583267,2770511,1178491,2096341,PE
967101,1593115,2791331,1183071,2108513,PE
1036777,1622873,2953031,1230847,2207183,PE
1066507,1677897,2964335,1270359,2229463,PE
959075,1563669,2760999,1163953,2077175,PE
974809,1587619,2842987,1182683,2127995,PE
869279,1386085,2887349,1043547,2055331,PE
842447,1455931,2724079,1062899,2011515,PE
1429315,2369221,3978179,1753781,3046499,PE
1405891,2274259,3655063,1691227,2840603,PE
888643,1486725,2596787,1098733,1963497,PE
886811,1427829,2456899,1068315,1865705,PE
1291329,2086613,3418887,1561319,2642819,PE
1285391,2104697,3496781,1567187,2691141,PE
1284579,2095893,3584439,1565623,2732649,PE
1285273,2103373,3489385,1565555,2684771,PE
1244229,2185143,3488569,1583901,2718023,PE
1162547,2060055,3393489,1488855,2617637,PE
1242137,2019411,3146099,1512267,2489165,PE
902531,1342959,2375361,1032075,1784795,PE
854349,1408455,2721725,1046177,1985115,PE
843725,1326741,2397661,1000913,1790819,PE
1058175,1727231,2963925,1286345,2251461,PE
994535,1603153,2770719,1198307,2100917,PE
1472971,2410643,4022663,1793433,3086635,PE
1349353,2239499,3766405,1658769,2881597,PE
1003765,1647869,2798981,1223935,2134363,PE
1454685,2393675,3783549,1768043,2948803,PE
1441971,2380913,3762151,1760755,2937891,PE
1493673,2396147,3817039,1803899,2991317,PE
1045907,1666709,3011627,1259675,2297713,PE
1038573,1703657,3012899,1266473,2263567,PE
1004827,1757245,3050247,1273431,2306673,PE
1043937,1795247,3043665,1312537,2322183,PE
1002573,1717027,2938745,1255907,2235739,PE
984331,1839749,3040859,1302391,2341219,PE
947949,1739701,2912417,1252989,2249675,PE
1141193,1840551,3199291,1376677,2422587,PE
1429763,2476799,4237909,1803673,3223845,PE
1373649,2492885,4154797,1791459,3195149,PE
1008843,1636993,2808685,1223407,2134135,PE
1023873,1662409,2882919,1240563,2184081,PE
1532867,2497845,4179317,1860603,3204923,PE
1078079,1763915,3010665,1310275,2292499,PE
988269,1606963,2761863,1197391,2096777,PE
1137117,1801721,3248451,1357435,2424417,PE
952389,1565295,2820431,1160939,2107005,PE
874635,1484487,2750701,1088225,2036711,PE
985217,1607599,2921361,1197095,2173757,PE
830789,1386957,2475201,1024079,1855147,PE
897323,1461427,2785959,1088221,2041291,PE
1047945,1699813,2938807,1265161,2222445,PE
1003129,1677733,2905117,1233401,2196747,PE
1043169,1688943,2870613,1261205,2188539,PE
658435,977203,1691229,753023,1277075,PE
474073,821845,1397103,598325,1062889,PE
1522575,2468093,4228413,1836679,3212391,PE
1484859,2430887,4150783,1812415,3165797,PE
1464399,2469499,4243687,1816907,3221183,PE
1247523,2083053,3368483,1544565,2624807,PE
1272709,2133511,3509209,1570257,2706231,PE
892497,1453091,2726331,1083145,2008721,PE
835473,1393199,2578225,1030399,1906713,PE
1356767,2258219,3483913,1665557,2753323,PE
1373123,2269317,3815801,1683173,2920367,PE
1363659,2282805,3673887,1684229,2856563,PE
1369651,2278035,3814989,1685075,2924057,PE
956197,1579491,2839659,1171273,2122555,PE
889113,1623877,2871071,1158595,2157991,PE
1007319,1660263,2833657,1232199,2157449,PE
1035109,1687051,2870733,1252641,2183959,PE
1473853,2358549,3827521,1767925,2967935,PE
1431251,2373387,3855069,1758757,2990179,PE
1066121,1742121,2929711,1298013,2242937,PE
1094651,1785679,3038047,1330969,2316123,PE
1543905,2465257,4007805,1853871,3103135,PE
1022795,1677265,2858555,1246365,2177215,PE
1454111,2440443,4290093,1798711,3229947,PE
1228603,2054863,3362231,1516167,2598493,PE
1237163,2069441,3417953,1527017,2634607,PE
1230299,2058035,3393691,1519805,2617081,PE
1204751,2034165,3369791,1496091,2593855,PE
872629,1478135,2713613,1087235,2027145,PE
1010321,1757625,2894481,1278361,2233669,PE
982131,1585697,2547233,1178609,1957187,PE
830877,1430559,2304235,1045129,1795851,PE
1212071,2162147,3556001,1560077,2742719,PE
1163219,2079241,3387955,1499907,2627905,PE
1310299,2191291,3684347,1619119,2820123,PE
1312103,2191509,3360819,1665865,2677223,PE
1311471,2243991,3520339,1642851,2755459,PE
1313205,2215817,3692475,1610059,2828711,PE
1413957,2331369,3776879,1729265,2934207,PE
1460653,2449645,3907025,1816309,3075381,PE
959173,1559203,2708817,1162523,2049035,PE
979061,1583081,2724675,1182669,2070233,PE
1456477,2436277,3990229,1804167,3091779,PE
1489629,2445997,3926949,1824841,3082749,PE
1028351,1675991,2845317,1250047,2172349,PE
853215,1455923,2608013,1062217,1942839,PE
770807,1285581,2553807,948527,1849613,PE
877403,1401957,2591713,1054113,1933299,PE
998113,1618061,2785529,1211635,2117251,PE
1414155,2440155,4318561,1777269,3234799,PE
1168449,1797641,3074991,1367049,2338119,PE
1013527,1617969,2785391,1214219,2115377,PE
1016399,1654235,2907331,1226879,2184265,PE
837287,1349691,2683113,1030843,1964063,PE
881827,1416735,2826667,1059801,2038039,PE
840277,1428715,2794147,1045031,2023425,PE
1361873,2259189,3812919,1669629,2906653,PE
1475477,2415859,4040721,1801219,3103395,PE
1447647,2330885,3761847,1743609,2924449,PE
1470367,2437585,4156123,1804439,3166507,PE
1605817,2634357,4473893,1957575,3414825,PE
1478323,2385445,3940091,1782319,3025083,PE
1342529,2262205,3843685,1662651,2927931,PE
1288689,2153455,3615357,1585571,2759789,PE
1009427,1635441,2881789,1219521,2167895,PE
917947,1411663,2773763,1085977,2001615,PE
1455109,2405939,4140845,1781917,3138259,PE
1411537,2275661,3626329,1706429,2828017,PE
1517473,2474317,4271171,1844479,3240429,PE
1528999,2555115,4343841,1889429,3320121,PE
1393395,2252763,3659235,1693893,2868345,PE
1011475,1666801,2856433,1232731,2168533,PE
